,patent_id,inventor_id,name_first,name_last
0,10000000,5073021-1,Joseph C.,Marron
2905,8582204,5908684-1,Shinichi,Matsumura
4079,10134976,7568792-1,Motoki,Takabe
4869,10134976,4864163-2,Toshihiro,Shimizu
5012,10134976,7350904-2,Eiju,Hirai
6041,8011844,5613047-3,Yukihiro,Mori
6159,8011844,6396244-4,Tetsuhiro,Ishikawa
6177,8421411,6396244-4,Tetsuhiro,Ishikawa
10555,10187329,5218538-1,Wei,Zhang
16606,5164821,5042929-1,Takaaki,Tanaka
19283,6571002,4408241-1,Kenji,Ogawa
19764,7757821,6572500-1,Toshio,Tetsuka
19800,4129778,4018706-1,Akira,Inoue
22955,4318034,3936870-1,Takashi,Nakamura
23196,6424493,3936870-1,Takashi,Nakamura
23763,6765616,4884129-5,Takahiro,Nakano
24069,4355088,4073980-2,John Anthony,"Novotny, Jr."
26129,10053389,9328019-1,Wolfram,Franke
26585,7713632,6230720-2,Kari B.,Myli
27817,7767861,7193116-6,Dirk,Fridag
33148,7507767,5225436-1,Neng-Yang,Shih
35717,5973141,5973141-2,Avinash S.,Phadke
36404,6320074,5688808-3,Lin,Zhi
40386,7208308,5329028-1,Avi J.,Ashkenazi
41198,5693730,4962248-1,Andreas,Winter
47366,7466609,4433338-7,Hiroyuki,Takahashi
55457,8154355,4055732-3,Takashi,Matsumoto
61359,6618158,4342792-1,David E.,Brown
62043,10151069,9926671-1,Kyong Ku,Yun
62501,7987730,5735092-2,John B.,Letts
63353,7034642,5899323-1,Paul,Rakus
64941,7610251,4957167-1,Roger L.,Schultz
66153,10001015,10001015-1,Alexander J.,Shelman-Cohen
70321,5430741,3937910-1,Tadashi,Fukami
70772,8077086,7499483-1,An-Bang,Chen
77313,6596079,5036022-2,Michael A.,Tischler
82177,4967947,4154539-1,Branko,Sarh
82620,7099867,6249806-5,Yasuhide,Matsumoto
84316,5086358,3997457-1,Koji,Takahashi
86372,6499741,4239554-1,Shunpei,"Yamazaki, I"
87551,7564057,4239554-1,Shunpei,"Yamazaki, I"
87619,7619282,4239554-1,Shunpei,"Yamazaki, I"
